Date,Sentiment
2016-08-10,0.0
2016-08-11,0.53805
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.16463333333333333
2016-08-15,0.0
2016-08-16,0.0903
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,-0.0172
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.21230000000000002
2016-08-29,0.26955
2016-08-30,0.3243
2016-08-31,0.04526
2016-09-01,-0.1571
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.06266363636363635
2016-09-10,-0.5859
2016-09-11,-0.2787
2016-09-12,0.0
2016-09-13,-0.12002499999999999
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.10207
2016-09-17,0.274025
2016-09-18,0.0
2016-09-19,0.296
2016-09-20,0.0
2016-09-21,0.0025999999999999964
2016-09-22,0.08571666666666666
2016-09-23,0.2202
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.06037777777777778
2016-09-28,0.08998333333333335
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.1531
2016-10-02,0.3688
2016-10-03,0.0
2016-10-04,0.33115
2016-10-05,0.156225
2016-10-06,0.24914999999999998
2016-10-07,0.14676666666666668
2016-10-08,0.0
2016-10-09,0.1493
2016-10-10,0.05343333333333335
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,-0.1583
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.12040000000000001
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.12631666666666666
2016-10-20,0.06799999999999999
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.1366
2016-10-24,0.743
2016-10-25,0.0
2016-10-26,0.194575
2016-10-27,0.153
2016-10-28,0.0
2016-10-29,0.1288153846153846
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.149425
2016-11-04,0.274432
2016-11-05,0.2076
2016-11-06,0.34
2016-11-07,0.6597
2016-11-08,0.29295
2016-11-09,0.0
2016-11-10,-0.0129
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.33135000000000003
2016-11-16,0.3162285714285714
2016-11-17,0.159225
2016-11-18,0.05517999999999999
2016-11-19,0.24174285714285712
2016-11-20,0.0
2016-11-21,0.4404
2016-11-22,0.20075714285714286
2016-11-23,-0.1589
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,-0.0772
2016-12-08,0.2732
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,-0.17054
2016-12-18,0.28595
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.23835
2016-12-23,0.18483333333333332
2016-12-24,0.09468666666666667
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.18076666666666666
2016-12-31,0.0
