,pred
2017-01-01,0.1618169389483065
2017-01-02,0.14764925038964305
2017-01-03,0.208974092024492
2017-01-04,0.16685672793865294
2017-01-05,0.10591244999999999
2017-01-06,0.09861305068135362
2017-01-07,0.06833299731771497
2017-01-08,-0.03647651576576578
2017-01-09,0.16478519590499605
2017-01-10,0.07402191746031747
2017-01-11,-0.021354429982179984
2017-01-12,0.12912367142857142
2017-01-13,0.16229912428862428
2017-01-14,0.1428243001231678
2017-01-15,0.24321417893772893
2017-01-16,0.06646303775203775
2017-01-17,0.10208340835667601
2017-01-18,0.0734343694677871
2017-01-19,-0.011709288095238102
2017-01-20,0.011767519498069494
2017-01-21,-0.009075278151260514
2017-01-22,0.023335176190476186
2017-01-23,0.09084265873015873
2017-01-24,-0.018630226190476204
2017-01-25,0.1588828891668369
2017-01-26,0.16856675750915756
2017-01-27,0.17595323592878592
2017-01-28,0.22229671904019405
2017-01-29,0.13782291711711708
2017-01-30,0.2731432407979409
2017-01-31,0.06352130634920634
2017-02-01,0.019362180158730147
2017-02-02,0.003664853246753232
2017-02-03,0.0606064204057381
2017-02-04,0.000616926640926636
2017-02-05,0.02434724603174603
2017-02-06,0.013331865546218472
2017-02-07,0.004414079683388513
2017-02-08,0.09279352408677571
2017-02-09,0.020220999999999992
2017-02-10,-0.0032725193052187194
2017-02-11,0.012451682539682546
2017-02-12,0.026004594537815114
2017-02-13,-0.006103900793650805
2017-02-14,0.02740552380952383
2017-02-15,0.03852968911181581
2017-02-16,-0.06348138852452552
2017-02-17,0.2573931346890856
2017-02-18,0.07337275476190475
2017-02-19,0.14491935371475376
2017-02-20,0.1963890769230769
2017-02-21,0.26782744722222207
2017-02-22,0.13252521143451146
2017-02-23,0.12717009534534532
2017-02-24,0.15540110858390851
2017-02-25,0.11510764206349204
2017-02-26,0.12454842355212355
2017-02-27,0.15757338548388544
2017-02-28,0.10222586153127916
2017-03-01,0.11754737561132556
2017-03-02,0.07794348182299947
2017-03-03,-0.001753259073359082
2017-03-04,0.014787407593307586
2017-03-05,-0.06630273333333325
2017-03-06,0.16377854920634935
2017-03-07,0.09411685592185591
2017-03-08,0.08778723475398474
2017-03-09,0.10492598774509804
2017-03-10,0.07389229725829728
2017-03-11,-0.09616699918324917
2017-03-12,0.06684571601731605
2017-03-13,-0.12186334126984127
2017-03-14,0.00882279554334555
2017-03-15,0.04999499999999998
2017-03-16,-0.0007498396825396876
2017-03-17,0.10584125125201595
2017-03-18,0.0867189126984127
2017-03-19,-0.00955680396270397
2017-03-20,0.02770011904761904
2017-03-21,-0.02318204878618115
2017-03-22,0.05032107619047617
2017-03-23,0.06199120634920634
2017-03-24,-0.25440516080586073
2017-03-25,0.04653377777777777
2017-03-26,-0.12169494841269843
2017-03-27,-0.023918933333333357
2017-03-28,0.07915446031746032
2017-03-29,-0.14995757142857152
2017-03-30,-0.2011161666666666
2017-03-31,0.02775610714285713
